timestamp,city,state,latitude,longitude,pm25,pm10,no2,so2,co,temperature,humidity,wind_speed,citizen_reports,smoke_detected,satellite_smoke_signal,industrial_activity,crop_burning,traffic_density,aqi
2026-08-24 06:00,Delhi,Delhi,28.6139,77.2090,142,218,72,18,1.4,29.2,72,2.8,14,1,0.82,1,0,0.91,198
2026-08-24 07:00,Delhi,Delhi,28.6139,77.2090,151,231,76,19,1.5,30.1,70,2.6,18,1,0.85,1,0,0.94,207
2026-08-24 08:00,Delhi,Delhi,28.6139,77.2090,164,248,81,20,1.6,31.4,68,2.4,21,1,0.87,1,0,0.97,219
2026-08-24 09:00,Delhi,Delhi,28.6139,77.2090,177,261,86,21,1.7,32.0,66,2.2,24,1,0.89,1,0,0.98,231
2026-08-24 10:00,Delhi,Delhi,28.6139,77.2090,189,275,91,22,1.8,33.1,64,2.1,27,1,0.91,1,0,0.99,242

2026-08-24 06:00,Meerut,Uttar Pradesh,28.9845,77.7064,118,192,54,14,1.1,28.6,75,3.8,8,0,0.55,1,0,0.62,174
2026-08-24 07:00,Meerut,Uttar Pradesh,28.9845,77.7064,134,211,61,16,1.2,29.4,73,3.5,11,1,0.67,1,0,0.68,189
2026-08-24 08:00,Meerut,Uttar Pradesh,28.9845,77.7064,157,239,68,18,1.4,30.2,71,3.2,16,1,0.76,1,0,0.74,211
2026-08-24 09:00,Meerut,Uttar Pradesh,28.9845,77.7064,181,267,77,20,1.6,31.0,69,2.9,22,1,0.84,1,0,0.81,238
2026-08-24 10:00,Meerut,Uttar Pradesh,28.9845,77.7064,218,301,92,23,1.9,31.8,68,3.2,28,1,0.91,1,0,0.88,276

2026-08-24 06:00,Mumbai,Maharashtra,19.0760,72.8777,71,121,38,9,0.8,27.1,79,5.8,5,0,0.22,0,0,0.61,118
2026-08-24 07:00,Mumbai,Maharashtra,19.0760,72.8777,68,116,36,9,0.8,27.4,78,6.1,4,0,0.19,0,0,0.59,112
2026-08-24 08:00,Mumbai,Maharashtra,19.0760,72.8777,74,128,41,10,0.9,28.0,76,5.7,7,0,0.25,0,0,0.64,121
2026-08-24 09:00,Mumbai,Maharashtra,19.0760,72.8777,82,139,45,10,0.9,28.7,74,5.4,9,0,0.28,0,0,0.68,134
2026-08-24 10:00,Mumbai,Maharashtra,19.0760,72.8777,91,151,49,11,1.0,29.3,72,5.1,11,0,0.31,0,0,0.72,146

2026-08-24 06:00,Punjab,Punjab,30.9010,75.8573,103,171,31,11,0.7,27.8,77,4.2,12,1,0.71,0,1,0.45,158
2026-08-24 07:00,Punjab,Punjab,30.9010,75.8573,129,203,36,13,0.8,28.4,75,3.9,17,1,0.79,0,1,0.51,183
2026-08-24 08:00,Punjab,Punjab,30.9010,75.8573,148,226,41,15,0.9,29.1,73,3.6,21,1,0.84,0,1,0.57,202
2026-08-24 09:00,Punjab,Punjab,30.9010,75.8573,172,251,46,17,1.0,29.8,71,3.2,25,1,0.89,0,1,0.63,224
2026-08-24 10:00,Punjab,Punjab,30.9010,75.8573,196,278,52,19,1.2,30.5,69,2.8,31,1,0.93,0,1,0.69,251

2026-08-24 06:00,Kolkata,West Bengal,22.5726,88.3639,86,144,43,12,0.9,28.1,81,3.1,6,0,0.30,0,0,0.72,139
2026-08-24 07:00,Kolkata,West Bengal,22.5726,88.3639,93,156,46,13,0.9,28.8,79,2.9,8,0,0.33,0,0,0.75,148
2026-08-24 08:00,Kolkata,West Bengal,22.5726,88.3639,101,169,49,14,1.0,29.5,77,2.7,10,0,0.36,0,0,0.77,159
2026-08-24 09:00,Kolkata,West Bengal,22.5726,88.3639,110,181,53,15,1.1,30.2,75,2.5,13,0,0.40,0,0,0.80,171
2026-08-24 10:00,Kolkata,West Bengal,22.5726,88.3639,121,196,58,16,1.2,30.9,73,2.3,15,0,0.44,0,0,0.83,185

2026-08-24 06:00,Bengaluru,Karnataka,12.9716,77.5946,48,82,28,6,0.5,24.6,73,4.7,3,0,0.12,0,0,0.54,82
2026-08-24 07:00,Bengaluru,Karnataka,12.9716,77.5946,52,89,30,6,0.5,25.2,71,4.5,4,0,0.14,0,0,0.57,88
2026-08-24 08:00,Bengaluru,Karnataka,12.9716,77.5946,57,96,33,7,0.6,25.9,69,4.2,5,0,0.16,0,0,0.60,96
2026-08-24 09:00,Bengaluru,Karnataka,12.9716,77.5946,63,104,36,7,0.6,26.5,67,4.0,7,0,0.18,0,0,0.64,105
2026-08-24 10:00,Bengaluru,Karnataka,12.9716,77.5946,69,113,39,8,0.7,27.1,65,3.8,8,0,0.21,0,0,0.67,115
